English,Spanish,Portuguese,Italian,French
Good morning / day,Buenos días / Buen día,Bom dia,Buongiorno / Buondì,Bonjour
Good afternoon,Buenas tardes,Boa tarde,Buon pomeriggio,Bon après-midi
Good evening,Buenas tardes,Boa tarde,Buona sera / Sera,Bonsoir
Good night (going to bed),Buenas noches,Boa noite,Buona notte / Notte,Bonne nuit
Hello,Hola,Olá,Salve / Ciao,Bonjour
Hi / Bye,Chao,Tchau,Ciao,Salut / Ciao / Coucou (inf)
Goodbye,Adiós,Adeus,Arrivederci / ArrivederLa (for),Au revoir
Please,Por favor,Por favor,Per favore,S'il vous plaît / S'il te plaît (inf)
Thank you,Gracias,Obrigado (Obrigada),Grazie,Merci
Thank you very much,Muchas gracias,Muito obrigado (obrigada),Grazie mille,Merci beaucoup
You're welcome,De nada,De nada,Prego / Di niente,De rien
Don't mention it,No hay de qué,Não há de quê,Non c'è di che,Il n'y a pas de quoi
How are you? (for),¿Cómo está Usted?,Como o senhor está?,Come sta?,Comment allez-vous ?
How are you? (inf),¿Cómo estás?,Como vai?,Come stai?,Ça va?
I'm fine,Estoy bien,Estou bem,Sto bene,Je vais bien / Ça va (inf)
